Frequency(kHz),Execution Time(s),Energy(J),Power(W),total_flops,total_missed_bytes,OI,cache_level,counter_used,Constant Energy (J),Duration measurement (s),Constant Power (W),File Name,Array Size
2200000.0,1.012625,10.92999267578125,10.79372193633502,0.0,9823744896.0,0.0,DRAM,perf::PERF_COUNT_HW_CACHE_LL:MISS,5.330362955729167,1,5.330362955729167,main_0,314572800
2300000.0,1.013921,11.14764404296875,10.994588378156433,0.0,8013933696.0,0.0,DRAM,perf::PERF_COUNT_HW_CACHE_LL:MISS,5.195943196614583,1,5.195943196614583,main_0,314572800
2400000.0,1.044214,12.01922607421875,11.510309260571827,0.0,8001017088.0,0.0,DRAM,perf::PERF_COUNT_HW_CACHE_LL:MISS,5.26690673828125,1,5.26690673828125,main_0,314572800
2600000.0,1.04615,12.81231689453125,12.247112645921954,0.0,8057915712.0,0.0,DRAM,perf::PERF_COUNT_HW_CACHE_LL:MISS,5.20489501953125,1,5.20489501953125,main_0,314572800
2700000.0,1.016588,13.07562255859375,12.862263334402678,0.0,13501972032.0,0.0,DRAM,perf::PERF_COUNT_HW_CACHE_LL:MISS,5.402669270833333,1,5.402669270833333,main_0,314572800
