Cache,Time Per Flop [s/ops],Time Per Byte [s/ops],Energy Per Flop [J/ops],Energy Per Byte [J/ops],Power Per Flop [W/ops],Power Per Byte [W/ops],Time balance [OI],Energy balance [OI],Constant Power [W],Constant Energy Per Flop [J/ops],Constant Flop Energy Efficiency,New Balance Energy
L2,1.6448817708333335e-11,2.8768962505945052e-12,3.3096102873484297e-10,7.21644706577525e-11,20.1206575818012,25.08414081419858,0.17489988044168098,0.2180452210147338,8.85302734375,1.4562183294423422e-10,0.6944459302812833,17.41957950302284
L3,1.645337820095486e-11,1.5418150629702274e-11,3.334497147136264e-10,2.8739128311247555e-10,20.266337443958765,18.63980252980737,0.9370811538755909,0.8618729314532274,8.85302734375,1.4566220711011356e-10,0.6959745719629554,12.972828587156698
L1D,1.6455816468253967e-11,2.0391098497780233e-12,3.2870332021561876e-10,4.926152414208327e-11,19.974901935114715,24.158347402149943,0.12391423140333441,0.14986622012144357,8.85302734375,1.4568379315718393e-10,0.6929010315617562,16.739343835776967
DRAM,1.6811136881510418e-11,5.9470231908089e-11,3.382222209539678e-10,9.067580348779223e-10,20.118938019353028,15.2472591040054,3.5375496807415097,2.68095346402841,8.85302734375,1.4882945449153585e-10,0.6944277948425035,10.588120516986756
