Cache,Time Per Flop [s/ops],Time Per Byte [s/ops],Energy Per Flop [J/ops],Energy Per Byte [J/ops],Power Per Flop [W/ops],Power Per Byte [W/ops],Time balance [OI],Energy balance [OI],Constant Power [W],Constant Energy Per Flop [J/ops],Constant Flop Energy Efficiency,New Balance Energy
L2,2.4472954008314344e-11,4.214194951320326e-12,4.315847763791681e-10,9.099488171904814e-11,17.63517294367256,21.592470868140317,0.17219804972822703,0.21083895146270112,8.38055419921875,2.0509691748166613e-10,0.6778658481007054,14.636798577621711
L3,2.4468827777438693e-11,1.9467048382269623e-11,4.304756617380513e-10,3.4766708405779785e-10,17.59281914334157,17.859260285932677,0.7955856553217917,0.8076347049542528,8.38055419921875,2.0506233738017424e-10,0.6773405560884054,12.096801293401214
L1D,2.4464957978990344e-11,1.4823860303277124e-12,4.3031106340802383e-10,2.889519366600997e-11,17.588874004098436,19.492354268626023,0.060592216491879285,0.06714954860133669,8.38055419921875,2.050299063245378e-10,0.6772915393590273,13.202006628329226
DRAM,2.446761767069499e-11,7.231268169926018e-11,4.293256723839376e-10,1.086864198449563e-09,17.546688777066493,15.030063509049516,2.9554443212454435,2.5315611629150414,8.38055419921875,2.050521960150218e-10,0.6767664727451294,10.171843066154722
