Cache,Time Per Flop [s/ops],Time Per Byte [s/ops],Energy Per Flop [J/ops],Energy Per Byte [J/ops],Power Per Flop [W/ops],Power Per Byte [W/ops],Time balance [OI],Energy balance [OI],Constant Power [W],Constant Energy Per Flop [J/ops],Constant Flop Energy Efficiency,New Balance Energy
L2,2.4465967814127604e-11,4.228211973613748e-12,4.327216366719869e-10,9.061823401605463e-11,17.686675628753036,21.431809611618284,0.17282013962154455,0.20941461285132215,8.669331868489584,2.121035944644569e-10,0.6710680906659867,14.382203555585624
L3,2.447009722391764e-11,2.180021187877348e-11,4.320244382446011e-10,3.7287609909326737e-10,17.655199090191207,17.104241975571387,0.8908919191978301,0.8630902932443709,8.669331868489584,2.121393936883477e-10,0.6706747830722211,11.471383776581117
L1D,2.446397887335883e-11,1.7402389948471439e-12,4.316973758654462e-10,3.451493994681199e-11,17.646245449286372,19.83344819246718,0.07113474892435658,0.07995170199406029,8.669331868489584,2.1208635167686562e-10,0.670562733099018,13.299571226718571
DRAM,2.4467662175496417e-11,7.211054132358555e-11,4.336761776357889e-10,1.0953444230561206e-09,17.724463192486848,15.189796151174654,2.9471774134515374,2.5257196026478903,8.669331868489584,2.1211828344546828e-10,0.6715390170886298,10.20054077713648
