Cache,Time Per Flop [s/ops],Time Per Byte [s/ops],Energy Per Flop [J/ops],Energy Per Byte [J/ops],Power Per Flop [W/ops],Power Per Byte [W/ops],Time balance [OI],Energy balance [OI],Constant Power [W],Constant Energy Per Flop [J/ops],Constant Flop Energy Efficiency,New Balance Energy
L2,2.4464313719007707e-11,4.234191224393051e-12,4.330434603616596e-10,9.443819552605147e-11,17.701026292235767,22.303715283805747,0.17307623148665188,0.21808017940550511,8.41876220703125,2.059592397585382e-10,0.6776864327493501,15.114925247739476
L3,2.4463602701822916e-11,2.0229525571367788e-11,4.332509383352267e-10,3.4581450042977364e-10,17.71002184821056,17.094543280798845,0.8269234019999996,0.7981852313086062,8.41876220703125,2.0595325387393434e-10,0.6777973981019478,11.586636957466592
L1D,2.446583112080892e-11,1.4583815087004868e-12,4.3304643541988397e-10,3.1137431780261066e-11,17.700050052727008,21.350676482456606,0.05960890931925422,0.07190321691499447,8.41876220703125,2.0597201440347513e-10,0.6776743856763274,14.468806569022792
DRAM,2.4591560363769533e-11,7.187409130353057e-11,4.337619369228681e-10,1.0942130161632206e-09,17.63865043561549,15.224025741657913,2.9227137375724177,2.5226118822818577,8.41876220703125,2.070304990024306e-10,0.6769148832047613,10.305369606820646
